,plntname,instrument,Rp,Tp,Mp,Teff,Kmag,orbital_period,Rs,a/Rs,catalog_name,planet_name
0,WASP-12 b,Space Telescope Imaging Spectrograph,1.937,2594.18,1.465,6360.0,10.188,1.09142,1.66,3.0052686816606657,nexsci,WASP-12 b
3,WASP-12 b,Infrared Array Camera (IRAC),1.937,2594.18,1.465,6360.0,10.188,1.09142,1.66,3.0052686816606657,nexsci,WASP-12 b
6,HAT-P-1 b,Wide Field Camera 3,1.319,1322.67,0.525,5980.0,8.858,4.46529976,1.17,10.220459980204405,nexsci,HAT-P-1 b
11,CoRoT-1 b,SpeX and MORIS,1.49,1822.16,1.03,5950.0,12.149,1.5089557,1.11,5.331247679327451,nexsci,CoRoT-1 b
13,GJ 436 b,Wide Field Camera 3,0.372,687.53,0.07,3586.11,6.073,2.64388312,0.46,13.603121152202036,nexsci,GJ 436 b
15,GJ 1214 b,OSIRIS,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
32,GJ 1214 b,Infrared Array Camera (IRAC),0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
49,HAT-P-12 b,Wide Field Camera 3,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
59,HAT-P-16 b,Mont4k CCD,1.289,1627.08,4.193,6158.0,9.553001,2.77596,1.24,7.161958088059369,nexsci,HAT-P-16 b
60,HD 97658 b,Wide Field Camera 3,0.189,756.83,0.02611,5212.0,5.734,9.4897116,0.73,23.712450043122036,nexsci,HD 97658 b
61,WASP-6 b,IMACS spectrograph,1.03,1093.43,0.37,5450.0,10.325,3.36101,0.73,12.42178904743424,nexsci,WASP-6 b
62,WASP-17 b,ULTRACAM,1.87,1698.89,0.78,6550.0,10.224,3.73543,1.49,7.432319474518929,nexsci,WASP-17 b
68,WASP-43 b,OSIRIS,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
75,WASP-39 b,Wide Field Camera 3,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
89,WASP-43 b,GROND,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
96,WASP-19 b,Merope 2Kx2K,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
108,HD 189733 b,Infrared Array camera (IRAC),1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
117,GJ 3470 b,,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
133,GJ 3470 b,EulerCam,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
149,GJ 3470 b,ISLE,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
165,GJ 3470 b,CCD-2 Direct Imaging Camera,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
181,GJ 3470 b,SBIG imager,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
197,GJ 3470 b,Large Monolithic Imager,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
213,GJ 3470 b,Mont4K CCD Imager,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
229,GJ 3470 b,Wide Field Camera 3,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
245,GJ 3470 b,MOSFIRE,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
261,GJ 3470 b,LBC,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
277,WASP-19 b,GROND,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
289,WASP-19 b,DFOSC imager,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
301,WASP-19 b,,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
313,GJ 1214 b,SOI,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
330,WASP-12 b,Wide Field Camera 3,1.937,2594.18,1.465,6360.0,10.188,1.09142,1.66,3.0052686816606657,nexsci,WASP-12 b
333,WASP-17 b,Wide Field Camera 3,1.87,1698.89,0.78,6550.0,10.224,3.73543,1.49,7.432319474518929,nexsci,WASP-17 b
339,WASP-19 b,Wide Field Camera 3,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
351,HAT-P-1 b,Space Telescope Imaging Spectrograph,1.319,1322.67,0.525,5980.0,8.858,4.46529976,1.17,10.220459980204405,nexsci,HAT-P-1 b
356,HAT-P-32 b,GMOS,1.98,1837.68,0.68,6001.0,9.99,2.1500082,1.37,5.331855713962411,nexsci,HAT-P-32 b
363,GJ 1214 b,WFC3,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
380,WASP-19 b,Space Telescope Imaging Spectrograph,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
392,WASP-19 b,MMIRS,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
404,GJ 1214 b,MMIRS,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
421,CoRoT-1 b,WFC3,1.49,1822.16,1.03,5950.0,12.149,1.5089557,1.11,5.331247679327451,nexsci,CoRoT-1 b
423,TrES-2 b,WFC3,1.36,1581.58,1.49,5850.0,9.846,2.47063,1.12,6.840710452269296,nexsci,TrES-2 b
424,TrES-4 b,WFC3,1.61,1708.35,0.78,6200.0,10.33,3.55395,1.66,6.58568361101846,nexsci,TrES-4 b
425,HD 209458 b,IRAC,1.39,1476.81,0.73,6091.0,6.308,3.52474859,1.19,8.505515602867796,nexsci,HD 209458 b
429,GJ 1214 b,TRAPPISTCam,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
446,GJ 1214 b,WIRCam,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
463,GJ 1214 b,Wide Field Camera 3,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
480,GJ 436 b,Infrared Array Camera (IRAC),0.372,687.53,0.07,3586.11,6.073,2.64388312,0.46,13.603121152202036,nexsci,GJ 436 b
482,HD 189733 b,Space Telescope Imaging Spectrograph,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
491,HD 189733 b,Advanced Camera for Surveys,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
500,HD 189733 b,Wide Field Camera 3,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
509,HD 189733 b,Near Infrared Camera and Multi-Object Spectrometer,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
518,HD 189733 b,Infrared Array Camera (IRAC),1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
527,HD 189733 b,Multiband Imaging Photometer (MIPS),1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
536,HD 189733 b,HARPS Echelle Spectrograph,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
545,WASP-31 b,Space Telescope Imaging Spectrograph,1.549,1574.06,0.478,6302.0,10.65,3.4059096,1.25,8.014678506152652,nexsci,WASP-31 b
549,WASP-31 b,Wide Field Camera 3,1.549,1574.06,0.478,6302.0,10.65,3.4059096,1.25,8.014678506152652,nexsci,WASP-31 b
553,WASP-31 b,Infrared Array Camera (IRAC),1.549,1574.06,0.478,6302.0,10.65,3.4059096,1.25,8.014678506152652,nexsci,WASP-31 b
557,WASP-39 b,Marconi CCD,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
571,WASP-39 b,Mexman,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
585,WASP-43 b,Mexman,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
592,WASP-43 b,RATIR,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
599,WASP-43 b,Wide Field Camera 3,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
606,WASP-80 b,GROND,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
614,WASP-80 b,Multiple Instruments,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
622,WASP-80 b,DFOSC,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
630,WASP-80 b,Infrared Array Camera (IRAC),0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
638,WASP-80 b,SIRIUS,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
646,WASP-80 b,,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
654,WASP-80 b,ISLE,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
662,GJ 1214 b,SIRIUS,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
679,GJ 1214 b,GROND,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
696,GJ 1214 b,WFC,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
713,GJ 1214 b,NOTCam,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
730,GJ 1214 b,LIRIS,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
747,HAT-P-11 b,Kepler CCD camera,0.389,829.22,0.084,4780.0,7.009,4.88780244,0.68,16.614396263133195,nexsci,HAT-P-11 b
750,HAT-P-11 b,Wide Field Camera 3,0.389,829.22,0.084,4780.0,7.009,4.88780244,0.68,16.614396263133195,nexsci,HAT-P-11 b
753,HAT-P-11 b,Infrared Array Camera (IRAC),0.389,829.22,0.084,4780.0,7.009,4.88780244,0.68,16.614396263133195,nexsci,HAT-P-11 b
756,HAT-P-1 b,OSIRIS,1.319,1322.67,0.525,5980.0,8.858,4.46529976,1.17,10.220459980204405,nexsci,HAT-P-1 b
761,HD 209458 b,Wide Field Camera 3,1.39,1476.81,0.73,6091.0,6.308,3.52474859,1.19,8.505515602867796,nexsci,HD 209458 b
765,KOI-12 b,Kepler CCD Array,1.23,964.67,1.1,6635.0,10.234,17.855182,1.4,23.653537123760238,nexsci,KOI-12 b
767,KOI-12 b,Infrared Array Camera (IRAC),1.23,964.67,1.1,6635.0,10.234,17.855182,1.4,23.653537123760238,nexsci,KOI-12 b
769,KOI-13 b,Kepler CCD Array,1.512,2550.11,9.28,7650.0,9.425,1.763588,1.74,4.49960964825554,nexsci,KOI-13 b
771,KOI-13 b,Infrared Array Camera (IRAC),1.512,2550.11,9.28,7650.0,9.425,1.763588,1.74,4.49960964825554,nexsci,KOI-13 b
773,Kepler-410 A b,Kepler CCD Array,0.253,1003.76,0.0265,6273.0,8.14,17.833648,1.35,19.528105396451213,nexsci,Kepler-410 A b
775,Kepler-410 A b,Infrared Array Camera (IRAC),0.253,1003.76,0.0265,6273.0,8.14,17.833648,1.35,19.528105396451213,nexsci,Kepler-410 A b
777,Kepler-93 b,Kepler CCD Array,0.14,1175.48,0.0143,5669.0,8.37,4.72674,0.98,11.629290051570432,nexsci,Kepler-93 b
779,Kepler-93 b,Infrared Array Camera (IRAC),0.14,1175.48,0.0143,5669.0,8.37,4.72674,0.98,11.629290051570432,nexsci,Kepler-93 b
781,Kepler-20 c,Kepler CCD Array,0.272,842.76,0.04012,5495.0,10.871,10.85409089,0.96,21.256824555348928,nexsci,Kepler-20 c
783,Kepler-20 c,Infrared Array Camera (IRAC),0.272,842.76,0.04012,5495.0,10.871,10.85409089,0.96,21.256824555348928,nexsci,Kepler-20 c
785,Kepler-20 d,Kepler CCD Array,0.245,438.46,0.03168,5495.0,10.871,77.61130017,0.96,78.5315351855146,nexsci,Kepler-20 d
787,Kepler-20 d,Infrared Array Camera (IRAC),0.245,438.46,0.03168,5495.0,10.871,77.61130017,0.96,78.5315351855146,nexsci,Kepler-20 d
789,Kepler-10 c,Kepler CCD Array,0.207,585.15,0.02319,5706.0,9.496,45.2946,1.09,47.54380689596512,nexsci,Kepler-10 c
791,Kepler-10 c,Infrared Array Camera (IRAC),0.207,585.15,0.02319,5706.0,9.496,45.2946,1.09,47.54380689596512,nexsci,Kepler-10 c
793,Kepler-102 e,Kepler CCD Array,0.198,596.63,0.028,4903.0,9.351,16.1457,0.74,33.76586012015897,nexsci,Kepler-102 e
795,Kepler-102 e,Infrared Array Camera (IRAC),0.198,596.63,0.028,4903.0,9.351,16.1457,0.74,33.76586012015897,nexsci,Kepler-102 e
797,Kepler-102 d,Kepler CCD Array,0.105,692.72,0.012,4903.0,9.351,10.3117,0.74,25.048340295677303,nexsci,Kepler-102 d
799,Kepler-102 d,Infrared Array Camera (IRAC),0.105,692.72,0.012,4903.0,9.351,10.3117,0.74,25.048340295677303,nexsci,Kepler-102 d
801,Kepler-19 b,Kepler CCD Array,0.197,857.95,0.02643,5544.0,10.318,9.28716,0.86,20.878122091268292,nexsci,Kepler-19 b
803,Kepler-19 b,Infrared Array Camera (IRAC),0.197,857.95,0.02643,5544.0,10.318,9.28716,0.86,20.878122091268292,nexsci,Kepler-19 b
805,Kepler-22 b,Kepler CCD Array,0.212,285.87,0.113,5518.0,10.152,289.8623,0.98,186.2880613921377,nexsci,Kepler-22 b
807,Kepler-22 b,Infrared Array Camera (IRAC),0.212,285.87,0.113,5518.0,10.152,289.8623,0.98,186.2880613921377,nexsci,Kepler-22 b
809,KOI-94 d,Kepler CCD Array,1.005,895.6,0.334,6182.0,10.926,22.342989,1.52,23.823299351921197,nexsci,KOI-94 d
811,KOI-94 d,Infrared Array Camera (IRAC),1.005,895.6,0.334,6182.0,10.926,22.342989,1.52,23.823299351921197,nexsci,KOI-94 d
813,Kepler-14 b,Kepler CCD Array,1.136,1590.1,8.4,6395.0,10.988,6.790123,2.05,8.08730692790206,nexsci,Kepler-14 b
815,Kepler-14 b,Infrared Array Camera (IRAC),1.136,1590.1,8.4,6395.0,10.988,6.790123,2.05,8.08730692790206,nexsci,Kepler-14 b
817,Kepler-94 b,Kepler CCD Array,0.313,1140.4,0.034,4781.0,10.594,2.50806,0.76,8.78802467779896,nexsci,Kepler-94 b
819,Kepler-94 b,Infrared Array Camera (IRAC),0.313,1140.4,0.034,4781.0,10.594,2.50806,0.76,8.78802467779896,nexsci,Kepler-94 b
821,Kepler-104 d,Kepler CCD Array,0.319,631.17,0.0394,5711.0,11.209,51.755394,1.35,40.93575111654129,nexsci,Kepler-104 d
823,Kepler-104 d,Infrared Array Camera (IRAC),0.319,631.17,0.0394,5711.0,11.209,51.755394,1.35,40.93575111654129,nexsci,Kepler-104 d
825,Kepler-18 c,Kepler CCD Array,0.49,990.22,0.054,5345.0,11.756,7.64159,1.11,14.567944240022685,nexsci,Kepler-18 c
827,Kepler-18 c,Infrared Array Camera (IRAC),0.49,990.22,0.054,5345.0,11.756,7.64159,1.11,14.567944240022685,nexsci,Kepler-18 c
829,Kepler-18 d,Kepler CCD Array,0.623,793.19,0.052,5345.0,11.756,14.85888,1.11,22.704296076205566,nexsci,Kepler-18 d
831,Kepler-18 d,Infrared Array Camera (IRAC),0.623,793.19,0.052,5345.0,11.756,14.85888,1.11,22.704296076205566,nexsci,Kepler-18 d
833,Kepler-11 e,Kepler CCD Array,0.374,636.67,0.025,5663.0,12.18,31.9996,1.06,39.55780222241207,nexsci,Kepler-11 e
